Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2021-01-01,274.95,274.9,280.0,274.4,279.05,279.4,278.33,24531791
2021-01-04,279.4,281.85,283.9,277.75,281.1,281.05,281.41,31450608
2021-01-05,281.05,278.05,282.45,277.0,281.4,281.75,279.69,27393072
2021-01-06,281.75,283.0,289.15,281.4,283.9,285.05,285.76,40765708
2021-01-07,285.05,289.0,291.8,287.0,288.0,287.7,289.15,30546600
2021-01-08,287.7,290.1,291.4,285.2,285.9,286.0,288.25,32543357
2021-01-11,286.0,288.0,288.2,279.6,282.8,282.5,282.5,29703173
2021-01-12,282.5,280.0,293.85,277.9,293.2,292.5,286.89,44307145
2021-01-13,292.5,296.0,308.0,294.5,305.95,306.8,301.17,78042133
2021-01-14,306.8,306.7,309.25,303.8,307.7,307.25,307.16,40123498
2021-01-15,307.25,306.8,310.9,301.3,303.95,303.85,306.2,35307601
2021-01-18,303.85,303.5,308.65,292.2,292.45,294.45,299.23,54969750
2021-01-19,294.45,297.65,302.5,296.4,298.4,298.6,299.11,35803901
2021-01-20,298.6,298.8,304.7,296.85,302.2,302.55,301.07,33759304
2021-01-21,302.55,304.0,305.15,291.5,296.8,294.85,300.2,29995203
2021-01-22,294.85,295.5,298.0,282.4,284.4,283.7,289.3,44440810
2021-01-25,283.7,284.5,288.0,277.05,281.0,280.95,283.38,34034630
2021-01-27,280.95,280.2,284.85,272.7,275.0,275.65,278.67,39211107
2021-01-28,275.65,271.9,283.35,269.5,282.9,282.35,277.04,48717297
2021-01-29,282.35,285.6,290.65,279.1,281.75,282.1,283.48,42300984
2021-02-01,282.1,285.1,313.9,282.75,313.0,310.7,300.59,103414068
2021-02-02,310.7,315.0,337.4,315.0,331.4,333.1,325.89,121434166
2021-02-03,333.1,333.75,339.9,325.8,335.75,335.95,334.1,66420168
2021-02-04,335.95,334.4,358.0,331.1,357.95,355.1,343.11,145203439
2021-02-05,355.1,387.0,408.35,385.15,395.0,393.1,397.71,214955688
2021-02-08,393.1,398.0,407.8,394.75,395.85,397.05,400.46,79389205
2021-02-09,397.05,396.75,403.5,389.0,393.6,394.8,396.65,63869990
2021-02-10,394.8,394.05,397.9,388.0,393.15,392.25,392.67,54163507
2021-02-11,392.25,391.8,396.95,388.25,390.9,390.15,391.61,36392708
2021-02-12,390.15,391.0,399.35,385.55,392.95,393.15,392.34,53589755
2021-02-15,393.15,397.5,409.45,395.7,409.0,406.95,403.08,56608937
2021-02-16,406.95,412.0,415.75,400.3,402.9,402.35,407.39,80365431
2021-02-17,402.35,403.0,414.85,400.15,413.4,411.75,410.54,74161370
2021-02-18,411.75,425.05,427.7,413.7,415.25,415.2,419.02,67154539
2021-02-19,415.2,415.0,415.0,395.0,400.6,399.55,405.06,66155518
2021-02-22,399.55,400.6,401.0,385.65,387.95,389.5,392.32,52535049
2021-02-23,389.5,392.0,399.7,389.0,395.6,395.6,395.45,45462768
2021-02-24,395.6,397.0,410.5,395.2,407.7,406.25,404.08,39632090
2021-02-25,406.25,411.0,414.9,406.55,407.4,407.25,410.68,46988836
2021-02-26,407.25,399.5,401.0,387.0,391.25,390.15,393.88,64450414
